Areaname,Month of Date,Adjustment,Areatype,Periodyear,Stfips,a,Adjusted,Date,Date (NULL),Date to Param Link,Glossary,Indicator Filter,Month,Period,Emplab,Laborforce,Unemp,Unemployment Rate,Unemprate
Alachua County,April 2010,Not Seasonally Adjusted,04,2010,12,a,0,April 2010,April 2010,False,Glossary,Unemployment Rate,April,04,118487,127569,9082,7.1%,7.1
Alachua County,June 2010,Not Seasonally Adjusted,04,2010,12,a,0,June 2010,June 2010,False,Glossary,Unemployment Rate,June,06,115954,126026,10072,8.0%,8
Alachua County,July 2010,Not Seasonally Adjusted,04,2010,12,a,0,July 2010,July 2010,False,Glossary,Unemployment Rate,July,07,116083,126847,10764,8.5%,8.5
Alachua County,September 2010,Not Seasonally Adjusted,04,2010,12,a,0,September 2010,September 2010,False,Glossary,Unemployment Rate,September,09,120795,130774,9979,7.6%,7.6
Alachua County,October 2010,Not Seasonally Adjusted,04,2010,12,a,0,October 2010,October 2010,False,Glossary,Unemployment Rate,October,10,120078,129754,9676,7.5%,7.5
Alachua County,December 2010,Not Seasonally Adjusted,04,2010,12,a,0,December 2010,December 2010,False,Glossary,Unemployment Rate,December,12,117312,127203,9891,7.8%,7.8
Alachua County,,Not Seasonally Adjusted,04,2011,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,118574,128282,9708,7.6%,7.6
Alachua County,January 2011,Not Seasonally Adjusted,04,2011,12,a,0,January 2011,January 2011,False,Glossary,Unemployment Rate,January,01,117549,127467,9918,7.8%,7.8
Alachua County,February 2011,Not Seasonally Adjusted,04,2011,12,a,0,February 2011,February 2011,False,Glossary,Unemployment Rate,February,02,118207,127553,9346,7.3%,7.3
Alachua County,March 2011,Not Seasonally Adjusted,04,2011,12,a,0,March 2011,March 2011,False,Glossary,Unemployment Rate,March,03,118748,127844,9096,7.1%,7.1
Alachua County,April 2011,Not Seasonally Adjusted,04,2011,12,a,0,April 2011,April 2011,False,Glossary,Unemployment Rate,April,04,121328,130093,8765,6.7%,6.7
Alachua County,January 2012,Not Seasonally Adjusted,04,2012,12,a,0,January 2012,January 2012,False,Glossary,Unemployment Rate,January,01,117943,127256,9313,7.3%,7.3
Alachua County,February 2012,Not Seasonally Adjusted,04,2012,12,a,0,February 2012,February 2012,False,Glossary,Unemployment Rate,February,02,118996,128040,9044,7.1%,7.1
Alachua County,March 2012,Not Seasonally Adjusted,04,2012,12,a,0,March 2012,March 2012,False,Glossary,Unemployment Rate,March,03,119496,128244,8748,6.8%,6.8
Alachua County,April 2012,Not Seasonally Adjusted,04,2012,12,a,0,April 2012,April 2012,False,Glossary,Unemployment Rate,April,04,122027,130354,8327,6.4%,6.4
Alachua County,June 2012,Not Seasonally Adjusted,04,2012,12,a,0,June 2012,June 2012,False,Glossary,Unemployment Rate,June,06,118153,127701,9548,7.5%,7.5
Alachua County,August 2012,Not Seasonally Adjusted,04,2012,12,a,0,August 2012,August 2012,False,Glossary,Unemployment Rate,August,08,118671,127631,8960,7.0%,7
Alachua County,September 2012,Not Seasonally Adjusted,04,2012,12,a,0,September 2012,September 2012,False,Glossary,Unemployment Rate,September,09,122974,131627,8653,6.6%,6.6
Alachua County,October 2012,Not Seasonally Adjusted,04,2012,12,a,0,October 2012,October 2012,False,Glossary,Unemployment Rate,October,10,123533,131836,8303,6.3%,6.3
Alachua County,December 2012,Not Seasonally Adjusted,04,2012,12,a,0,December 2012,December 2012,False,Glossary,Unemployment Rate,December,12,120403,128571,8168,6.4%,6.4
Alachua County,February 2008,Not Seasonally Adjusted,04,2008,12,a,0,February 2008,February 2008,False,Glossary,Unemployment Rate,February,02,124727,128984,4257,3.3%,3.3
